ID,chemIndex,porosity,freq,amp,initialStrain,initialStress,intervalCode,cycle,stiffnessFrac,dampingFrac,stiffness,damping,stiffnessROC,dampingROC,NVP
106,1,low,0.5,2.4128849143440812E-2,-0.2913375226002326,-62.799569925656819,A,0,1,1,0.5189672855667941,0.2679121203549366,NA,NA,1.4911539821680908
115,1,low,0.5,2.461566240160673E-2,-0.2913358267120093,-59.240175726957808,A,0,1,1,0.42933785927451884,0.26714228876713797,NA,NA,1.4565298788153183
116,1,low,10,2.3821421721616297E-2,-0.29134057453917039,-62.451156282278447,A,0,1,1,0.5649898142907184,0.726056672828461,NA,NA,1.5539974013365581
117,1,low,5,2.5272102221972091E-2,-0.29134028378272486,-62.471672978966268,A,0,1,1,0.6185903859232366,0.517391149454281,NA,NA,1.5967962722406279
119,1,low,2,2.5382086905547281E-2,-0.29133856940915154,-61.845186771667528,A,0,1,1,0.5560850264302128,0.38938350107345254,NA,NA,1.6863471932572609
137,1,low,14.995652173913042,2.2337381035514036E-2,-0.29133121992185868,-58.836185088457398,A,0,1,1,0.45651084737087755,0.9307478545822001,NA,NA,1.5255738902779101
139,1,low,0.5,2.4281769732657284E-2,-0.69291295559246502,-56.673020726236999,A,0,1,1,0.42327399450545927,-2.878130230452706,NA,NA,1.4975999666927675
140,1,low,15.002564102564103,1.4673231262834157E-2,-0.2913399411996892,-60.168816557692132,A,0,1,1,0.4649157231085907,0.9233334055738667,NA,NA,1.5258453066925775
144,1,low,2,2.5744210366941581E-2,-0.29133741391286039,-57.720437924635853,A,0,1,1,0.48130672659293267,0.37162628499887207,NA,NA,1.6949016616825572
146,1,low,15,2.2408634659225365E-2,-0.29143764479162365,-61.767442515413371,A,0,1,1,0.4524644690565265,0.9294169531680574,NA,NA,1.5445421057116615
167,1,low,10,7.801228054574684E-2,-0.29130418402857716,-70.557869817436028,A,0,1,1,0.4818921917304048,0.7405964546573481,NA,NA,1.7192319025846463
104,1,high,0.5,2.4152293346591594E-2,-0.52755769422532572,-6.8013223668039462,A,0,1,1,0.06326693852018256,0.2978859904848,NA,NA,1.5260460684554038
113,1,high,0.5,2.4258753733764193E-2,-0.52755998521085357,-5.40974125626341,A,0,1,1,0.05065265520328715,0.4042546285764934,NA,NA,1.5231393171046115
114,1,high,0.5,2.4300551446183816E-2,-0.44881906066950328,-4.238312376470029,A,0,1,1,0.03605342442634612,0.3747160575480075,NA,NA,1.5615353611380185
120,1,high,2,2.4319551746456163E-2,-0.44881966137082407,-4.683026855760013,A,0,1,1,0.04049839370781712,0.49703004614207735,NA,NA,1.671028949818554
123,1,high,10,2.3155500796167072E-2,-0.52756846100808852,-5.730141348165807,A,0,1,1,0.11644186414291266,0.4974551650494763,NA,NA,1.5173740918716316
124,1,high,5,2.4043844946017488E-2,-0.52756540793483053,-5.8597449459478606,A,0,1,1,0.07957719601326305,-5.525853352123983,NA,NA,1.5564774984849088
131,1,high,2,2.4288179423705203E-2,-0.52755877026996834,-5.8932509077896755,A,0,1,1,0.07117682080328354,0.6290029739275804,NA,NA,1.5831511361536126
138,1,high,0.5,2.4139612236788142E-2,-0.45669205351708692,-6.0756811161405908,A,0,1,1,0.06822180304541388,-2.8621563860198656,NA,NA,1.6364417446751796
155,1,high,0.5,2.4770290556294913E-2,-0.45669222240591623,-7.6083469277822866,A,0,1,1,0.09456091722223076,-2.872837963377799,NA,NA,1.6125134680738131
107,2,low,0.5,2.4039107664406652E-2,-0.29133322325570032,-110.36201609756436,A,0,1,1,1.160132788339974,0.26243200764006724,NA,NA,1.458558012126203
118,2,low,0.29999999999999993,2.4718528557623479E-2,-0.29133607283822832,-99.292455569186998,A,0,1,1,0.9772701853844752,0.24800384851589863,NA,NA,1.5448588439884285
125,2,low,10.007692307692308,2.3109187217787746E-2,-0.29135883272624691,-116.38172865434537,A,0,1,1,1.3216518079147779,-5.601813805892765,NA,NA,1.5626656308988129
126,2,low,0.40000000000000008,2.4061549102421653E-2,-0.29133551917199146,-99.961184560208238,A,0,1,1,0.9611923722085599,0.2519959825438489,NA,NA,1.4467531965404739
154,2,low,0.5,2.4446100643851307E-2,-0.69291603183379524,-111.27783380790446,A,0,1,1,1.1531347067693154,3.3961549205070094,NA,NA,1.4180958143795435
105,2,high,0.5,2.4053768858335774E-2,-0.52755878135939549,-11.309205798293299,A,0,1,1,0.12813838246118464,0.29183598460405746,NA,NA,1.5540970606987949
127,2,high,10,2.3120995267766595E-2,-0.52757893569880199,-11.286631204923472,A,0,1,1,0.11755130353051316,0.8661675442198213,NA,NA,1.6303045087137793
150,2,high,15,7.5980023919371517E-2,-0.52758250913579996,-11.247552581452979,A,0,1,1,0.08090634074086932,1.0873592185209895,NA,NA,2.3357672112235144
151,2,high,14.996666666666666,2.2209895777175647E-2,-0.52757296345442162,-10.128652239928856,A,0,1,1,0.07298426672384938,1.1343349787442567,NA,NA,1.5512224916232815
152,2,high,15.00344827586207,4.6110984293437303E-2,-0.5275596302975889,-9.7568620078289872,A,0,1,1,0.17000626210570055,0.440201112101382,NA,NA,1.5891194430250632
153,2,high,20,2.2590403908833941E-2,-0.52757513488626362,-10.21461550140822,A,0,1,1,0.07431566317556788,1.2553412983527579,NA,NA,1.4139293519794383
156,2,high,0.5,2.4341741191036756E-2,-0.45669171449968832,-12.285923280013334,A,0,1,1,0.16523458269204042,-2.8808256749976007,NA,NA,1.5804701515808499
109,3,low,0.5,2.4178551084111738E-2,-0.29133686826991273,-157.58113193542448,A,0,1,1,3.0193685000289054,0.21297578566943676,NA,NA,1.5787863938200195
111,3,low,0.5,2.4200331488404461E-2,-0.2913354684281298,-212.68782062723184,A,0,1,1,3.112563419446269,0.23936056625866842,NA,NA,1.5120945479015058
128,3,low,0.02,2.4812812057302076E-2,-0.29133059815925855,-157.49605425274407,A,0,1,1,2.0069388866674993,-6.067011544612627,NA,NA,1.4800053347608639
129,3,low,10.005555555555555,2.2995208930251101E-2,-0.29134838615455322,-189.5761103698693,A,0,1,1,2.563758088958875,0.6659360730479419,NA,NA,1.6376552202546832
141,3,low,0.5,2.4089210191575599E-2,-0.69291668465565726,-174.21675831782167,A,0,1,1,2.2967593806639126,3.3930979710133853,NA,NA,1.4485209128010728
143,3,low,2,2.4569540548064036E-2,-0.29133401605071235,-186.7649021493599,A,0,1,1,2.6408304788299612,0.31513850199090915,NA,NA,1.4876171739923347
145,3,low,15,2.2767054073013646E-2,-0.29144721583737276,-209.55184734073819,A,0,1,1,2.5360349594205314,0.8754430918610394,NA,NA,1.5435451024226197
168,3,low,15.007142857142856,3.7859706656321261E-2,-0.2913529057324557,-240.18896722005104,A,0,1,1,3.764684674615079,0.2603173144275326,NA,NA,1.594210206894475
103,3,high,0.5,2.4476333130798222E-2,-0.52755930951866969,-22.593622784915166,A,0,1,1,0.3173959757523107,0.24365892356132823,NA,NA,1.5265000715006041
108,3,high,10,2.3065943486435064E-2,-0.52756024422647796,-23.485219208487827,A,0,1,1,0.4554710938325672,0.29459184951973927,NA,NA,1.6675011370424089
112,3,high,5,2.3964377933336459E-2,-0.52756223987618711,-19.879039773524777,A,0,1,1,0.3078493224235186,0.30492359878933817,NA,NA,1.5703981220525767
